user_id,age,country,income_level,investment_experience,num_investments,total_invested
1,58,Germany,Low,Novice,6,4306.73
2,32,France,Medium,Intermediate,14,15305.28
3,52,Germany,Medium,Novice,11,25018.27
4,23,France,Low,Intermediate,17,29858.32
5,53,France,Medium,Intermediate,18,42622.42
6,44,France,Medium,Novice,20,21335.7
7,18,Austria,High,Intermediate,9,9144.2
8,39,Netherlands,Low,Expert,9,14463.26
9,39,Germany,Low,Novice,9,29528.7
10,40,Spain,Low,Novice,11,21780.09
11,47,Spain,Low,Expert,13,16588.7
12,23,Spain,Low,Intermediate,11,13929.58
13,41,Spain,Low,Novice,17,39020.74
14,60,France,Medium,Expert,5,19241.08
15,32,Austria,Low,Novice,12,30646.33
16,58,Austria,Medium,Novice,12,30347.28
17,31,Sweden,Low,Expert,15,34331.84
18,59,Germany,Medium,Novice,19,62734.7
19,64,France,Low,Novice,9,13143.75
20,58,Sweden,Medium,Intermediate,8,18029.84
21,21,France,High,Expert,12,12298.63
22,43,Netherlands,Low,Expert,7,14360.64
23,54,Sweden,Medium,Intermediate,5,8727.34
24,43,Sweden,Medium,Novice,10,11672.06
25,33,Sweden,Medium,Novice,9,16877.61
26,55,Italy,High,Novice,14,26964.08
27,32,France,Medium,Novice,19,28392.65
28,21,Austria,Low,Intermediate,14,20939.74
29,61,Italy,Medium,Novice,9,14878.89
30,56,Italy,Medium,Expert,8,14497.77
31,18,Sweden,Medium,Intermediate,11,26713.77
32,52,Austria,Low,Intermediate,16,19992.66
33,25,Netherlands,Medium,Novice,13,25063.7
34,64,Sweden,Low,Intermediate,8,16278.52
35,29,Spain,High,Expert,12,12370.36
36,37,Austria,Medium,Intermediate,7,8035.93
37,27,Netherlands,Medium,Intermediate,10,21873.42
38,51,Germany,Medium,Novice,6,8811.95
39,25,Netherlands,High,Expert,20,59156.26
40,37,France,Low,Expert,5,8375.06
41,23,Germany,Medium,Expert,10,35113.27
42,52,Austria,Low,Intermediate,9,11776.14
43,53,France,Low,Expert,15,31366.57
44,45,France,High,Intermediate,18,44914.97
45,62,France,Medium,Novice,20,60160.38
46,60,Sweden,Medium,Expert,16,25069.97
47,46,Germany,Low,Novice,5,5550.1
48,19,Spain,Medium,Intermediate,13,22664.21
49,18,Germany,Medium,Novice,10,17168.16
50,22,Germany,High,Novice,14,34451.31
51,33,Netherlands,Medium,Novice,15,29885.71
52,26,Sweden,High,Intermediate,15,48727.11
53,48,France,Medium,Expert,13,44551.89
54,30,Germany,Low,Novice,13,19541.21
55,45,Italy,Medium,Intermediate,10,23403.57
56,61,Sweden,High,Novice,5,7137.04
57,43,Sweden,Medium,Expert,14,28231.24
58,33,France,Low,Novice,8,15581.03
59,45,France,Low,Novice,16,39047.33
60,22,Italy,High,Expert,19,36658.3
61,24,Germany,Medium,Intermediate,18,32052.14
62,18,Germany,High,Expert,12,25482.93
63,28,Italy,Medium,Novice,10,12433.17
64,43,Germany,Low,Novice,20,32956.6
65,42,Netherlands,High,Intermediate,14,33797.69
66,36,Italy,Medium,Intermediate,9,18414.39
67,53,Sweden,Medium,Novice,17,40276.71
68,36,France,High,Intermediate,16,22878.58
69,52,Germany,Medium,Novice,18,27703.33
70,55,Italy,Medium,Expert,9,11167.96
71,28,Germany,High,Novice,8,22628.32
72,29,Germany,Medium,Intermediate,20,33764.58
73,33,Italy,Low,Expert,20,59803.79
74,33,Spain,Medium,Intermediate,11,30053.6
75,44,Sweden,Medium,Intermediate,18,35337.43
76,34,France,Medium,Novice,20,40687.53
77,34,Italy,Low,Intermediate,14,25507.38
78,47,Netherlands,High,Expert,15,34768.99
79,18,Italy,Medium,Intermediate,6,5966.09
80,24,Germany,Medium,Intermediate,13,31567.81
81,26,Netherlands,High,Expert,10,11999.79
82,41,Netherlands,Low,Expert,5,9064.58
83,63,Netherlands,Medium,Expert,18,37094.05
84,59,Spain,Low,Expert,12,20946.97
85,37,Sweden,Low,Expert,15,37163.22
86,34,Germany,High,Intermediate,18,51005.86
87,27,Netherlands,Low,Novice,17,37573.51
88,39,France,Medium,Expert,15,20834.05
89,50,Italy,Low,Expert,8,13649.97
90,21,Germany,Medium,Expert,13,18223.16
91,20,Germany,Medium,Novice,19,42574.34
92,34,France,Medium,Intermediate,6,8105.09
93,45,Spain,Low,Novice,16,28161.67
94,62,France,Medium,Expert,13,19972.34
95,55,Spain,Low,Novice,13,20410.82
96,37,Netherlands,High,Intermediate,16,46174.96
97,20,Netherlands,Low,Novice,17,28511.81
98,24,Netherlands,Medium,Expert,14,24488.13
99,44,Spain,Medium,Expert,18,35412.43
100,33,Austria,Low,Intermediate,10,19714.36
101,29,Italy,Low,Intermediate,20,43868.78
102,39,Austria,High,Expert,5,9589.75
103,65,Austria,Low,Novice,10,13272.61
104,62,Germany,Medium,Novice,20,27469.31
105,48,France,Low,Expert,17,49040.39
106,40,Netherlands,High,Expert,13,19671.31
107,32,Germany,Medium,Novice,8,13503.8
108,35,Austria,Low,Intermediate,7,16039.37
109,40,Sweden,Medium,Intermediate,8,11971.23
110,52,Netherlands,High,Novice,17,28928.4
111,34,France,Medium,Expert,20,30829.59
112,20,Germany,Medium,Novice,17,52215.68
113,38,Italy,Medium,Intermediate,18,34089.56
114,42,Spain,Low,Novice,20,26441.85
115,45,Germany,Medium,Expert,5,21777.36
116,61,Sweden,High,Intermediate,20,46847.69
117,30,Netherlands,Medium,Expert,18,48088.67
118,39,Spain,Medium,Expert,15,33818.21
119,64,Netherlands,Medium,Intermediate,14,17615.12
120,38,Italy,Medium,Intermediate,8,11717.88
121,30,Italy,Medium,Novice,15,41333.02
122,65,France,Medium,Novice,16,31209.32
123,53,Austria,Low,Novice,5,5812.41
124,45,Austria,Medium,Intermediate,13,32034.41
125,47,Italy,Medium,Novice,10,12948.08
126,48,Austria,High,Intermediate,13,29411.3
127,28,Sweden,Low,Intermediate,12,33755.8
128,58,Spain,Medium,Expert,18,30590.09
129,33,Sweden,Medium,Expert,8,13653.94
130,27,Germany,Low,Expert,5,11169.09
131,57,Austria,Medium,Novice,14,24503.64
132,58,Spain,Low,Intermediate,20,40126.94
133,49,Italy,Low,Intermediate,15,38979.36
134,18,Austria,High,Expert,17,30994.06
135,45,France,Low,Expert,14,23678.76
136,51,Italy,Low,Novice,9,17770.3
137,25,Italy,Low,Novice,20,38691.57
138,51,Spain,Medium,Expert,15,27809.28
139,46,Spain,High,Expert,9,21114.22
140,45,Austria,High,Novice,18,37245.88
141,28,Sweden,High,Novice,12,12892.27
142,33,Austria,Medium,Intermediate,5,9260.62
143,51,Italy,Medium,Novice,7,14413.5
144,22,Sweden,Low,Novice,11,15620.28
145,38,Spain,Low,Novice,12,26792.22
146,42,Sweden,Low,Novice,19,24641.79
147,44,Italy,Medium,Novice,11,22012.76
148,21,France,High,Novice,18,28957.55
149,55,Sweden,Low,Expert,7,5262.52
150,54,Italy,Medium,Expert,14,26145.98
151,37,Austria,Medium,Expert,17,41185.01
152,44,Spain,Medium,Intermediate,5,18194.27
153,56,France,Medium,Novice,19,28046.37
154,49,Germany,Medium,Intermediate,16,25768.16
155,43,Sweden,Low,Novice,8,27698.24
156,26,Spain,Medium,Expert,10,16432.52
157,55,Spain,Medium,Novice,11,24905.13
158,45,France,High,Novice,17,37204.49
159,34,Italy,Medium,Novice,17,25175.47
160,39,Austria,High,Novice,12,21278.63
161,44,Netherlands,High,Novice,14,22571.65
162,65,Spain,Low,Expert,18,46969.39
163,32,Sweden,Low,Expert,10,15277.29
164,20,Austria,Low,Novice,14,22723.4
165,19,Spain,Low,Novice,9,22025.47
166,60,Germany,Medium,Novice,11,16597.75
167,62,Netherlands,Medium,Novice,14,23755.14
168,56,Sweden,Medium,Intermediate,17,38878.02
169,28,Netherlands,Low,Novice,13,26524.86
170,37,Spain,Medium,Expert,17,32741.78
171,43,Sweden,Low,Intermediate,14,17934.27
172,58,France,Low,Intermediate,12,20593.18
173,61,Spain,High,Intermediate,15,31438.18
174,54,Austria,Low,Intermediate,5,11323.23
175,60,Netherlands,Low,Intermediate,5,13704.64
176,18,Austria,Medium,Novice,6,10807.35
177,45,Netherlands,Medium,Expert,5,2657.44
178,63,France,Medium,Intermediate,9,10519.74
179,59,Netherlands,Medium,Expert,20,42712.55
180,48,Italy,Medium,Intermediate,8,21859.52
181,35,Netherlands,High,Expert,13,28889.26
182,23,Netherlands,High,Novice,8,18089.3
183,47,Spain,Medium,Novice,19,36329.84
184,19,Italy,High,Novice,16,37985.86
185,31,Netherlands,Medium,Novice,11,40988.34
186,56,Sweden,High,Intermediate,5,4644.42
187,51,France,Low,Intermediate,20,44225.02
188,49,Spain,Medium,Intermediate,14,31747.73
189,59,Sweden,Medium,Intermediate,9,11696.48
190,23,Netherlands,Low,Intermediate,8,15138.65
191,37,Sweden,Medium,Novice,8,9323.96
192,51,Netherlands,Medium,Intermediate,10,24027.01
193,39,Netherlands,Medium,Novice,14,31535.5
194,34,France,Low,Novice,8,9637.15
195,25,Sweden,Medium,Intermediate,11,11594.34
196,29,France,Low,Novice,20,36528.61
197,64,Spain,High,Intermediate,20,27797.09
198,36,Germany,High,Novice,8,25687.84
199,41,France,Medium,Intermediate,20,56402.38
200,26,Netherlands,Low,Novice,7,3425.27
201,36,Sweden,High,Intermediate,11,20227.59
202,49,Germany,High,Intermediate,15,31000.78
203,48,Italy,Medium,Novice,19,34828.5
204,21,Netherlands,High,Novice,20,40549.78
205,22,Italy,Medium,Intermediate,15,34332.07
206,61,Germany,Low,Expert,15,28851.75
207,37,Germany,High,Novice,20,39445.85
208,44,Spain,Medium,Intermediate,7,14974.91
209,51,Italy,Medium,Novice,5,8222.2
210,55,Italy,Medium,Intermediate,14,23132.49
211,57,Sweden,Low,Intermediate,8,17950.55
212,58,France,Low,Novice,5,5429.33
213,33,France,Medium,Novice,19,27790.58
214,44,Italy,Medium,Novice,6,7153.41
215,20,France,Low,Novice,15,38533.2
216,47,Germany,Medium,Expert,15,29132.97
217,58,Spain,Medium,Expert,8,23066.57
218,45,Germany,Medium,Intermediate,9,19309.09
219,35,Austria,Low,Novice,19,23649.45
220,37,Spain,Medium,Intermediate,6,11458.16
221,36,Italy,Low,Intermediate,9,17904.3
222,62,Italy,High,Intermediate,16,31757.47
223,49,Italy,Low,Novice,7,16109.43
224,45,Sweden,Medium,Novice,19,38662.75
225,23,France,High,Expert,5,3426.75
226,54,Spain,High,Expert,7,17562.24
227,61,Austria,Low,Novice,13,32183.28
