user_id,age,income_level,investment_experience,num_investments,total_invested,avg_investment,avg_return_percent,dominant_category,return_per_investment
1,58,Low,Novice,6,4306.73,717.7883333333333,3.4766666666666666,None,2495.510772222222
2,32,Medium,Intermediate,14,15305.28,1093.2342857142858,0.7857142857142859,Commodities,858.9697959183676
3,52,Medium,Novice,11,25018.27,2274.3881818181817,7.065454545454545,Crypto,16069.586317355372
4,23,Low,Intermediate,17,29858.32,1756.3717647058822,1.881176470588235,Commodities,3304.0452373702415
5,53,Medium,Intermediate,18,42622.42,2367.912222222222,4.346666666666667,ETF,10292.525125925926
6,44,Medium,Novice,20,21335.7,1066.785,12.4085,Crypto,13237.201672500001
7,18,High,Intermediate,9,9144.2,1016.0222222222224,9.026666666666667,Bond,9171.293925925927
8,39,Low,Expert,9,14463.26,1607.028888888889,11.715555555555556,Crypto,18827.236227160494
9,39,Low,Novice,9,29528.7,3280.9666666666667,9.92111111111111,Bond,32550.834851851847
10,40,Low,Novice,11,21780.09,1980.0081818181818,7.997272727272727,Index Fund,15834.665432231404
11,47,Low,Expert,13,16588.7,1276.0538461538463,3.180769230769231,Crypto,4058.8328106508884
12,23,Low,Intermediate,11,13929.58,1266.3254545454545,5.845454545454545,Commodities,7402.24788429752
13,41,Low,Novice,17,39020.74,2295.337647058823,9.86235294117647,Bond,22637.429994463662
14,60,Medium,Expert,5,19241.08,3848.2160000000003,-2.8160000000000003,ETF,-10836.576256000002
15,32,Low,Novice,12,30646.33,2553.860833333333,8.6875,Index Fund,22186.665989583333
16,58,Medium,Novice,12,30347.28,2528.94,8.929166666666667,Commodities,22581.32675
17,31,Low,Expert,15,34331.84,2288.789333333333,8.161999999999999,Commodities,18681.09853866666
18,59,Medium,Novice,19,62734.7,3301.8263157894735,3.127894736842105,None,10327.765155124653
19,64,Low,Novice,9,13143.75,1460.4166666666667,8.93888888888889,None,13054.502314814818
20,58,Medium,Intermediate,8,18029.84,2253.73,7.928750000000001,Crypto,17869.2617375
21,21,High,Expert,12,12298.63,1024.8858333333335,2.7825,Crypto,2851.7448312500005
22,43,Low,Expert,7,14360.64,2051.52,-4.26,Commodities,-8739.475199999999
23,54,Medium,Intermediate,5,8727.34,1745.468,-0.5200000000000001,None,-907.6433600000003
24,43,Medium,Novice,10,11672.06,1167.206,5.252,ETF,6130.1659119999995
25,33,Medium,Novice,9,16877.61,1875.29,-4.050000000000001,Index Fund,-7594.924500000001
26,55,High,Novice,14,26964.08,1926.0057142857145,3.877142857142857,None,7467.399297959184
27,32,Medium,Novice,19,28392.65,1494.3500000000001,7.2631578947368425,Stock,10853.7
28,21,Low,Intermediate,14,20939.74,1495.695714285714,10.959285714285715,Crypto,16391.756674489792
29,61,Medium,Novice,9,14878.89,1653.21,14.32111111111111,None,23675.804099999998
30,56,Medium,Expert,8,14497.77,1812.22125,9.43625,None,17100.572770312498
31,18,Medium,Intermediate,11,26713.77,2428.524545454545,1.8390909090909089,ETF,4466.277414049586
32,52,Low,Intermediate,16,19992.66,1249.54125,4.4325,None,5538.591590625
33,25,Medium,Novice,13,25063.7,1927.9769230769232,-0.12000000000000018,Stock,-231.3572307692311
34,64,Low,Intermediate,8,16278.52,2034.815,5.529999999999999,ETF,11252.52695
35,29,High,Expert,12,12370.36,1030.8633333333335,5.435,Index Fund,5602.7422166666665
36,37,Medium,Intermediate,7,8035.93,1147.99,-2.512857142857143,None,-2884.7348714285713
37,27,Medium,Intermediate,10,21873.42,2187.3419999999996,1.98,Bond,4330.9371599999995
38,51,Medium,Novice,6,8811.95,1468.6583333333335,10.491666666666667,None,15408.673680555557
39,25,High,Expert,20,59156.26,2957.813,3.9455000000000005,Bond,11670.051191500002
40,37,Low,Expert,5,8375.06,1675.0120000000002,-9.812000000000001,None,-16435.217744000005
41,23,Medium,Expert,10,35113.27,3511.3269999999998,6.662000000000001,ETF,23392.460474
42,52,Low,Intermediate,9,11776.14,1308.46,10.602222222222222,ETF,13872.58368888889
43,53,Low,Expert,15,31366.57,2091.1046666666666,1.7386666666666661,Bond,3635.733980444443
44,45,High,Intermediate,18,44914.97,2495.2761111111113,4.223888888888889,Bond,10539.7690404321
45,62,Medium,Novice,20,60160.38,3008.019,3.693,Real Estate,11108.614167
46,60,Medium,Expert,16,25069.97,1566.873125,3.890625,Crypto,6096.115751953125
47,46,Low,Novice,5,5550.1,1110.02,9.084,Commodities,10083.42168
48,19,Medium,Intermediate,13,22664.21,1743.4007692307691,12.713846153846154,Commodities,22165.32916449704
49,18,Medium,Novice,10,17168.16,1716.816,3.439,Bond,5904.130224
50,22,High,Novice,14,34451.31,2460.807857142857,2.141428571428571,None,5269.644254081631
51,33,Medium,Novice,15,29885.71,1992.3806666666667,2.8713333333333337,Commodities,5720.789020888889
52,26,High,Intermediate,15,48727.11,3248.474,5.749333333333333,ETF,18676.55985066667
53,48,Medium,Expert,13,44551.89,3427.0684615384616,8.825384615384616,Commodities,30245.197276331364
54,30,Low,Novice,13,19541.21,1503.1699999999998,-5.7930769230769235,Bond,-8707.979438461538
55,45,Medium,Intermediate,10,23403.57,2340.357,2.584,Crypto,6047.482488
56,61,High,Novice,5,7137.04,1427.408,-2.342,None,-3342.989536
57,43,Medium,Expert,14,28231.24,2016.517142857143,10.595714285714285,Real Estate,21366.439497959185
58,33,Low,Novice,8,15581.03,1947.62875,8.55875,None,16669.267564062502
59,45,Low,Novice,16,39047.33,2440.458125,5.010625,Crypto,12228.220492578126
60,22,High,Expert,19,36658.3,1929.3842105263157,4.658947368421052,None,8988.899490304708
61,24,Medium,Intermediate,18,32052.14,1780.6744444444444,3.7461111111111105,Index Fund,6670.604321604937
62,18,High,Expert,12,25482.93,2123.5775,-0.8341666666666668,None,-1771.4175645833336
63,28,Medium,Novice,10,12433.17,1243.317,1.281,None,1592.689077
64,43,Low,Novice,20,32956.6,1647.83,4.631,None,7631.10073
65,42,High,Intermediate,14,33797.69,2414.1207142857143,6.273571428571429,Index Fund,15145.158738265305
66,36,Medium,Intermediate,9,18414.39,2046.0433333333333,8.76,Index Fund,17923.3396
67,53,Medium,Novice,17,40276.71,2369.2182352941177,10.190000000000001,None,24142.33381764706
68,36,High,Intermediate,16,22878.58,1429.91125,9.1725,ETF,13115.860940625
69,52,Medium,Novice,18,27703.33,1539.073888888889,1.0972222222222223,Stock,1688.7060725308645
70,55,Medium,Expert,9,11167.96,1240.8844444444444,11.562222222222223,Commodities,14347.381698765432
71,28,High,Novice,8,22628.32,2828.54,-3.7075,Stock,-10486.81205
72,29,Medium,Intermediate,20,33764.58,1688.229,5.6615,Index Fund,9557.908483500001
73,33,Low,Expert,20,59803.79,2990.1895,1.0909999999999997,Commodities,3262.296744499999
74,33,Medium,Intermediate,11,30053.6,2732.145454545455,3.297272727272727,Bond,9008.628694214876
75,44,Medium,Intermediate,18,35337.43,1963.1905555555556,10.269444444444444,Crypto,20160.876344135802
76,34,Medium,Novice,20,40687.53,2034.3764999999999,5.779999999999999,None,11758.696169999997
77,34,Low,Intermediate,14,25507.38,1821.9557142857143,3.6864285714285714,Commodities,6716.509601020408
78,47,High,Expert,15,34768.99,2317.9326666666666,10.456,ETF,24236.303962666665
79,18,Medium,Intermediate,6,5966.09,994.3483333333334,-2.3783333333333334,None,-2364.8917861111113
80,24,Medium,Intermediate,13,31567.81,2428.293076923077,5.041538461538462,Stock,12242.332943195268
81,26,High,Expert,10,11999.79,1199.979,0.9579999999999999,Stock,1149.5798819999998
82,41,Low,Expert,5,9064.58,1812.916,0.7460000000000001,Crypto,1352.4353360000002
83,63,Medium,Expert,18,37094.05,2060.7805555555556,-0.0011111111111110875,Commodities,-2.2897561728394575
84,59,Low,Expert,12,20946.97,1745.5808333333334,2.983333333333333,None,5207.6494861111105
85,37,Low,Expert,15,37163.22,2477.5480000000002,2.5453333333333332,None,6306.185509333333
86,34,High,Intermediate,18,51005.86,2833.658888888889,6.806111111111111,Real Estate,19286.197248765435
87,27,Low,Novice,17,37573.51,2210.2064705882353,8.065294117647058,Stock,17825.965246020758
88,39,Medium,Expert,15,20834.05,1388.9366666666667,3.7353333333333327,ETF,5188.141428888888
89,50,Low,Expert,8,13649.97,1706.24625,5.2924999999999995,None,9030.308278125
90,21,Medium,Expert,13,18223.16,1401.7815384615385,6.019230769230769,Index Fund,8437.646568047337
91,20,Medium,Novice,19,42574.34,2240.754736842105,6.465263157894737,Crypto,14487.069045983379
92,34,Medium,Intermediate,6,8105.09,1350.8483333333334,6.449999999999999,ETF,8712.971749999999
93,45,Low,Novice,16,28161.67,1760.1043750000001,2.08625,Commodities,3672.0177523437505
94,62,Medium,Expert,13,19972.34,1536.3338461538463,6.955384615384616,Index Fund,10685.792797633138
95,55,Low,Novice,13,20410.82,1570.063076923077,5.4630769230769225,Stock,8577.37536331361
96,37,High,Intermediate,16,46174.96,2885.935,6.68625,None,19296.08289375
97,20,Low,Novice,17,28511.81,1677.1652941176471,0.20117647058823487,None,337.40619446366713
98,24,Medium,Expert,14,24488.13,1749.152142857143,3.128571428571429,Bond,5472.347418367348
99,44,Medium,Expert,18,35412.43,1967.3572222222222,0.47500000000000003,Index Fund,934.4946805555556
100,33,Low,Intermediate,10,19714.36,1971.4360000000001,6.0520000000000005,Real Estate,11931.130672000001
101,29,Low,Intermediate,20,43868.78,2193.439,10.556000000000001,ETF,23153.942084000002
102,39,High,Expert,5,9589.75,1917.95,3.1399999999999997,Crypto,6022.362999999999
103,65,Low,Novice,10,13272.61,1327.261,4.808000000000001,None,6381.470888000001
104,62,Medium,Novice,20,27469.31,1373.4654999999998,4.2909999999999995,None,5893.5404604999985
105,48,Low,Expert,17,49040.39,2884.728823529412,1.2788235294117651,Crypto,3689.0590955017315
106,40,High,Expert,13,19671.31,1513.1776923076925,6.526153846153846,Bond,9875.230416568049
107,32,Medium,Novice,8,13503.8,1687.975,3.5037499999999993,None,5914.242406249999
